Labels,EmScan1,
Type,Emission Scan,
Comment,,
Start,300.00,
Stop,800.00,
Step,1.00,
Fixed/Offset,565.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.9995179,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.9995179,
Detector,Detector 1,

300.00,-8.97470016E+1,
301.00,6.44616928E+1,
302.00,1.25193777E+1,
303.00,8.52697449E+1,
304.00,8.01875305E+1,
305.00,1.42262787E+2,
306.00,6.74253601E+2,
307.00,1.87766248E+3,
308.00,2.65657642E+3,
309.00,4.13840039E+3,
310.00,4.61813232E+3,
311.00,4.71880225E+3,
312.00,3.59668726E+3,
313.00,2.18375293E+3,
314.00,1.33277856E+3,
315.00,7.28886230E+2,
316.00,3.22276062E+2,
317.00,-2.01395264E+1,
318.00,1.19830917E+2,
319.00,9.89773941E+0,
320.00,1.17652618E+2,
321.00,9.94830017E+1,
322.00,1.20025505E+2,
323.00,3.79753075E+1,
324.00,8.67715378E+1,
325.00,3.70481682E+1,
326.00,-2.05598106E+1,
327.00,7.20666809E+1,
328.00,3.10607090E+1,
329.00,3.27617073E+1,
330.00,1.11735809E+2,
331.00,5.28253555E+1,
332.00,1.86946068E+1,
333.00,8.37016754E+1,
334.00,7.42254562E+1,
335.00,1.00517212E+2,
336.00,8.51869049E+1,
337.00,-2.47199993E+1,
338.00,-1.12045717E+1,
339.00,1.10038353E+2,
340.00,1.13490486E+2,
341.00,-1.41594696E+1,
342.00,1.25243591E+2,
343.00,1.07735367E+2,
344.00,1.16018852E+2,
345.00,3.30661087E+1,
346.00,6.01483116E+1,
347.00,1.03905701E+2,
348.00,1.65078568E+2,
349.00,1.62378052E+2,
350.00,1.46222321E+2,
351.00,1.80317398E+2,
352.00,1.43899384E+2,
353.00,2.22809311E+2,
354.00,2.65282928E+2,
355.00,3.50046417E+2,
356.00,3.67919952E+2,
357.00,3.77130890E+2,
358.00,5.27085205E+2,
359.00,5.66647949E+2,
360.00,7.83732544E+2,
361.00,7.47308960E+2,
362.00,9.43439087E+2,
363.00,1.07363757E+3,
364.00,1.10225195E+3,
365.00,1.23576196E+3,
366.00,1.34889465E+3,
367.00,1.53244275E+3,
368.00,1.61965796E+3,
369.00,1.64431177E+3,
370.00,1.75370630E+3,
371.00,1.95594214E+3,
372.00,1.92748657E+3,
373.00,1.88529272E+3,
374.00,1.95242444E+3,
375.00,2.01478931E+3,
376.00,2.08832251E+3,
377.00,2.06290015E+3,
378.00,2.27425269E+3,
379.00,2.33969116E+3,
380.00,2.31613037E+3,
381.00,2.31576025E+3,
382.00,2.61410229E+3,
383.00,2.52378784E+3,
384.00,2.37705420E+3,
385.00,2.48879419E+3,
386.00,2.58321924E+3,
387.00,2.63185474E+3,
388.00,2.70406348E+3,
389.00,2.77616162E+3,
390.00,2.93685889E+3,
391.00,3.05642480E+3,
392.00,3.28793774E+3,
393.00,3.46156030E+3,
394.00,3.63882813E+3,
395.00,3.97044922E+3,
396.00,3.89222217E+3,
397.00,4.09255566E+3,
398.00,4.25539307E+3,
399.00,4.30843457E+3,
400.00,4.45933154E+3,
401.00,4.61689502E+3,
402.00,4.55539063E+3,
403.00,4.67797217E+3,
404.00,4.81806592E+3,
405.00,4.99041992E+3,
406.00,5.05279199E+3,
407.00,5.12499414E+3,
408.00,5.17040625E+3,
409.00,5.37418750E+3,
410.00,5.33373584E+3,
411.00,5.52219141E+3,
412.00,5.35214307E+3,
413.00,5.33780322E+3,
414.00,5.22409912E+3,
415.00,5.35947461E+3,
416.00,5.41214209E+3,
417.00,5.29798193E+3,
418.00,5.63101465E+3,
419.00,5.59895703E+3,
420.00,5.56209961E+3,
421.00,5.47500586E+3,
422.00,5.41965381E+3,
423.00,5.33511768E+3,
424.00,5.29817920E+3,
425.00,5.30544043E+3,
426.00,5.28273877E+3,
427.00,5.15624561E+3,
428.00,5.18389600E+3,
429.00,5.07229834E+3,
430.00,5.18385254E+3,
431.00,5.04499561E+3,
432.00,5.33098096E+3,
433.00,6.32898145E+3,
434.00,7.55770117E+3,
435.00,9.28021191E+3,
436.00,1.03183848E+4,
437.00,1.08550039E+4,
438.00,1.03075752E+4,
439.00,9.06028027E+3,
440.00,7.72398779E+3,
441.00,6.39268311E+3,
442.00,5.53718701E+3,
443.00,4.89745801E+3,
444.00,4.81203271E+3,
445.00,4.67376855E+3,
446.00,4.84196191E+3,
447.00,4.98157129E+3,
448.00,4.97321143E+3,
449.00,5.22662158E+3,
450.00,5.40214502E+3,
451.00,5.31375977E+3,
452.00,5.44535596E+3,
453.00,5.75266602E+3,
454.00,6.59021387E+3,
455.00,9.29217090E+3,
456.00,1.30454893E+4,
457.00,1.70891543E+4,
458.00,2.05539063E+4,
459.00,2.18825352E+4,
460.00,2.07473789E+4,
461.00,1.81495078E+4,
462.00,1.51278047E+4,
463.00,1.28240479E+4,
464.00,1.12549180E+4,
465.00,1.08554072E+4,
466.00,1.09014531E+4,
467.00,1.10809287E+4,
468.00,1.13318086E+4,
469.00,1.10374629E+4,
470.00,1.07357725E+4,
471.00,1.05471719E+4,
472.00,1.01427617E+4,
473.00,1.01804229E+4,
474.00,9.83624219E+3,
475.00,9.50275488E+3,
476.00,9.14987207E+3,
477.00,8.88694043E+3,
478.00,8.87836816E+3,
479.00,9.02589746E+3,
480.00,9.43225391E+3,
481.00,9.69378223E+3,
482.00,9.90720410E+3,
483.00,9.64815234E+3,
484.00,9.94622168E+3,
485.00,9.83215234E+3,
486.00,9.52334570E+3,
487.00,9.66504492E+3,
488.00,9.83035156E+3,
489.00,1.00456943E+4,
490.00,1.03816406E+4,
491.00,1.08249971E+4,
492.00,1.11629531E+4,
493.00,1.12383008E+4,
494.00,1.09395596E+4,
495.00,1.08768877E+4,
496.00,1.09358486E+4,
497.00,1.05962842E+4,
498.00,1.09527227E+4,
499.00,1.11323027E+4,
500.00,1.13369219E+4,
501.00,1.20254502E+4,
502.00,1.19831094E+4,
503.00,1.25301211E+4,
504.00,1.29660566E+4,
505.00,1.32750391E+4,
506.00,1.36447559E+4,
507.00,1.44175020E+4,
508.00,1.48394902E+4,
509.00,1.56673418E+4,
510.00,1.62196924E+4,
511.00,1.68291426E+4,
512.00,1.73576035E+4,
513.00,1.81955957E+4,
514.00,1.92887949E+4,
515.00,1.98368184E+4,
516.00,2.09604023E+4,
517.00,2.19767637E+4,
518.00,2.31471797E+4,
519.00,2.37744961E+4,
520.00,2.51520840E+4,
521.00,2.65384004E+4,
522.00,2.77817500E+4,
523.00,2.92550723E+4,
524.00,3.08518164E+4,
525.00,3.27596445E+4,
526.00,3.52819453E+4,
527.00,3.76009688E+4,
528.00,4.02473359E+4,
529.00,4.27032500E+4,
530.00,4.78415195E+4,
531.00,5.48851328E+4,
532.00,6.45362344E+4,
533.00,7.55219922E+4,
534.00,8.72959609E+4,
535.00,9.55358438E+4,
536.00,1.02584945E+5,
537.00,1.07324398E+5,
538.00,1.11373516E+5,
539.00,1.17521250E+5,
540.00,1.25852281E+5,
541.00,1.36386266E+5,
542.00,1.49798156E+5,
543.00,1.61165625E+5,
544.00,1.71383156E+5,
545.00,1.82567266E+5,
546.00,1.96426047E+5,
547.00,2.09850547E+5,
548.00,2.28056938E+5,
549.00,2.51007844E+5,
550.00,2.78840875E+5,
551.00,3.14036563E+5,
552.00,3.57803906E+5,
553.00,4.14303531E+5,
554.00,4.91865125E+5,
555.00,5.98404563E+5,
556.00,7.62639250E+5,
557.00,1.17702088E+6,
558.00,3.79861275E+6,
559.00,6.58201600E+6,
560.00,4.87850500E+6,
561.00,3.82729700E+6,
562.00,3.52423175E+6,
563.00,3.30878475E+6,
564.00,3.21151275E+6,
565.00,3.48218275E+6,
566.00,3.78774000E+6,
567.00,4.14242875E+6,
568.00,5.25002900E+6,
569.00,7.20078800E+6,
570.00,6.79911100E+6,
571.00,4.37785000E+6,
572.00,2.24260175E+6,
573.00,1.21616438E+6,
574.00,7.69668375E+5,
575.00,5.92095188E+5,
576.00,5.05297844E+5,
577.00,4.36093156E+5,
578.00,3.77730656E+5,
579.00,3.32853156E+5,
580.00,2.92848188E+5,
581.00,2.60082156E+5,
582.00,2.32129313E+5,
583.00,2.08933813E+5,
584.00,1.90148406E+5,
585.00,1.71399859E+5,
586.00,1.57409750E+5,
587.00,1.42654000E+5,
588.00,1.30762898E+5,
589.00,1.19909656E+5,
590.00,1.08967656E+5,
591.00,9.97041484E+4,
592.00,8.92808359E+4,
593.00,8.14807188E+4,
594.00,7.31006953E+4,
595.00,6.55352344E+4,
596.00,5.93461172E+4,
597.00,5.31483047E+4,
598.00,4.78505156E+4,
599.00,4.38270078E+4,
600.00,3.99065742E+4,
601.00,3.60592070E+4,
602.00,3.37558086E+4,
603.00,3.13158594E+4,
604.00,2.95413086E+4,
605.00,2.69328027E+4,
606.00,2.51210293E+4,
607.00,2.32812285E+4,
608.00,2.14741289E+4,
609.00,2.07165332E+4,
610.00,1.93236563E+4,
611.00,1.86368535E+4,
612.00,1.75851465E+4,
613.00,1.66390371E+4,
614.00,1.56011699E+4,
615.00,1.55481299E+4,
616.00,1.45184941E+4,
617.00,1.41572969E+4,
618.00,1.35537480E+4,
619.00,1.34314424E+4,
620.00,1.32553848E+4,
621.00,1.24591367E+4,
622.00,1.25147500E+4,
623.00,1.17960684E+4,
624.00,1.12028271E+4,
625.00,1.15220273E+4,
626.00,1.03140488E+4,
627.00,1.07047813E+4,
628.00,9.78737012E+3,
629.00,9.35396680E+3,
630.00,9.83588770E+3,
631.00,9.52120703E+3,
632.00,8.54198438E+3,
633.00,8.85763867E+3,
634.00,8.68628027E+3,
635.00,8.38613184E+3,
636.00,8.72695801E+3,
637.00,7.71569189E+3,
638.00,7.43267334E+3,
639.00,7.87272314E+3,
640.00,7.21531201E+3,
641.00,7.15919824E+3,
642.00,7.31735059E+3,
643.00,7.28940283E+3,
644.00,7.12830176E+3,
645.00,6.36421094E+3,
646.00,6.65779688E+3,
647.00,6.50938721E+3,
648.00,6.65250342E+3,
649.00,6.32671533E+3,
650.00,5.97647949E+3,
651.00,5.83405811E+3,
652.00,5.11207471E+3,
653.00,5.26898047E+3,
654.00,5.28730811E+3,
655.00,5.22297754E+3,
656.00,5.28700439E+3,
657.00,5.22080469E+3,
658.00,4.99541455E+3,
659.00,4.77377246E+3,
660.00,5.18385889E+3,
661.00,4.66006836E+3,
662.00,4.58968066E+3,
663.00,4.46991162E+3,
664.00,4.54317969E+3,
665.00,4.59151953E+3,
666.00,5.00311621E+3,
667.00,4.66735156E+3,
668.00,5.19813916E+3,
669.00,4.65289893E+3,
670.00,5.29907422E+3,
671.00,5.15537842E+3,
672.00,4.97164063E+3,
673.00,5.17762354E+3,
674.00,5.24141602E+3,
675.00,5.40716455E+3,
676.00,5.13606494E+3,
677.00,5.60134082E+3,
678.00,5.11386475E+3,
679.00,5.64591553E+3,
680.00,-3.91092255E+2,
681.00,-3.09598022E+2,
682.00,-3.91615906E+2,
683.00,2.02677261E+2,
684.00,7.14404297E+1,
685.00,-1.26745689E+2,
686.00,2.47723679E+2,
687.00,3.90401306E+2,
688.00,3.86163635E+2,
689.00,4.57972839E+2,
690.00,4.34805664E+2,
691.00,1.08629163E+3,
692.00,-1.28932816E+2,
693.00,-5.02947998E+1,
694.00,1.32653854E+2,
695.00,2.79314697E+2,
696.00,-3.14438812E+2,
697.00,2.76099060E+2,
698.00,-4.30582977E+2,
699.00,-4.36784668E+2,
700.00,-5.31838135E+2,
701.00,-3.14597595E+2,
702.00,-2.39198898E+2,
703.00,-3.23435852E+2,
704.00,-7.26204346E+2,
705.00,-5.81981995E+2,
706.00,-8.43273239E+1,
707.00,5.49995178E+2,
708.00,1.24004745E+1,
709.00,1.13222946E+2,
710.00,4.46579315E+2,
711.00,8.40964478E+2,
712.00,1.65317554E+3,
713.00,1.11768262E+3,
714.00,1.43049170E+3,
715.00,1.06784290E+3,
716.00,5.69417114E+2,
717.00,3.66425873E+2,
718.00,8.58322906E+1,
719.00,5.51762207E+2,
720.00,-6.18853027E+2,
721.00,2.09276566E+2,
722.00,-1.25828149E+3,
723.00,-1.49126929E+3,
724.00,-4.83336151E+2,
725.00,-8.06429199E+2,
726.00,-4.97247986E+2,
727.00,-1.20452771E+3,
728.00,-2.64310822E+2,
729.00,-3.68741180E+2,
730.00,-1.69964066E+1,
731.00,-3.27578461E+2,
732.00,5.59913269E+2,
733.00,-5.68540100E+2,
734.00,-3.42787659E+2,
735.00,-8.78770264E+2,
736.00,-1.18832861E+3,
737.00,-7.72178284E+2,
738.00,-1.41386755E+3,
739.00,-1.68610571E+3,
740.00,-1.02208459E+3,
741.00,-1.79354016E+3,
742.00,-1.33354773E+3,
743.00,-1.80255273E+3,
744.00,-3.44766113E+3,
745.00,-2.82219312E+3,
746.00,-2.88407227E+3,
747.00,-2.83865259E+3,
748.00,-3.86748120E+3,
749.00,-4.11938330E+3,
750.00,-4.26337695E+3,
751.00,-3.52081152E+3,
752.00,-4.61483691E+3,
753.00,-4.73007275E+3,
754.00,-3.36735376E+3,
755.00,-4.09302393E+3,
756.00,-5.32288672E+3,
757.00,-4.07251245E+3,
758.00,-4.95571631E+3,
759.00,-3.36826343E+3,
760.00,-5.30991309E+3,
761.00,-4.83592871E+3,
762.00,-2.31777905E+3,
763.00,-3.07782568E+3,
764.00,-1.61426965E+3,
765.00,-1.44158752E+3,
766.00,-2.78046655E+3,
767.00,-4.15360107E+3,
768.00,-4.81052832E+3,
769.00,-7.08602197E+3,
770.00,-7.59192139E+3,
771.00,-8.35270996E+3,
772.00,-8.70453418E+3,
773.00,-9.33834570E+3,
774.00,-8.99063672E+3,
775.00,-9.01553125E+3,
776.00,-1.02876006E+4,
777.00,-9.77826563E+3,
778.00,-1.02027275E+4,
779.00,-1.15602393E+4,
780.00,-1.18354121E+4,
781.00,-1.10658438E+4,
782.00,-1.08349971E+4,
783.00,-1.16097744E+4,
784.00,-1.13707236E+4,
785.00,-1.24527666E+4,
786.00,-1.22150039E+4,
787.00,-1.21869307E+4,
788.00,-1.14491182E+4,
789.00,-1.21701289E+4,
790.00,-1.18824922E+4,
791.00,-1.16993965E+4,
792.00,-1.22867188E+4,
793.00,-1.28438203E+4,
794.00,-1.32954199E+4,
795.00,-1.30184023E+4,
796.00,-1.44308682E+4,
797.00,-1.37895117E+4,
798.00,-1.50966553E+4,
799.00,-1.46267705E+4,
800.00,-1.47188213E+4,
