Labels,EmScan2,
Type,Emission Scan,
Comment,,
Start,300.00,
Stop,800.00,
Step,1.00,
Fixed/Offset,565.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.9995179,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.9995179,
Detector,Detector 1,

300.00,6.31552963E+1,
301.00,-1.61154236E+2,
302.00,2.59777069E+2,
303.00,2.52763870E+2,
304.00,2.76201508E+2,
305.00,2.91493555E+3,
306.00,9.78947949E+3,
307.00,2.74216953E+4,
308.00,5.13219766E+4,
309.00,7.31081250E+4,
310.00,8.48005859E+4,
311.00,8.24584844E+4,
312.00,6.56979141E+4,
313.00,4.15121016E+4,
314.00,2.14817090E+4,
315.00,7.75432666E+3,
316.00,3.72520679E+3,
317.00,2.06430151E+3,
318.00,2.21187891E+3,
319.00,2.46701147E+3,
320.00,2.21088892E+3,
321.00,2.00907129E+3,
322.00,2.20366846E+3,
323.00,1.87740430E+3,
324.00,1.75653735E+3,
325.00,1.61391089E+3,
326.00,2.03770569E+3,
327.00,1.36701489E+3,
328.00,1.45985339E+3,
329.00,1.52451147E+3,
330.00,1.81570691E+3,
331.00,1.80028821E+3,
332.00,1.49556848E+3,
333.00,1.44946802E+3,
334.00,1.47849084E+3,
335.00,1.19241016E+3,
336.00,1.41526428E+3,
337.00,1.30065222E+3,
338.00,1.52008691E+3,
339.00,1.73493811E+3,
340.00,1.49699353E+3,
341.00,1.69913635E+3,
342.00,1.31331824E+3,
343.00,1.79387927E+3,
344.00,1.68143274E+3,
345.00,1.63346570E+3,
346.00,1.60124561E+3,
347.00,1.85271863E+3,
348.00,1.63978040E+3,
349.00,1.79698376E+3,
350.00,2.31214063E+3,
351.00,1.92338562E+3,
352.00,2.33799414E+3,
353.00,2.36295142E+3,
354.00,2.60789063E+3,
355.00,2.89505615E+3,
356.00,3.35105469E+3,
357.00,3.76990161E+3,
358.00,4.09118530E+3,
359.00,4.53871191E+3,
360.00,4.88325684E+3,
361.00,5.03550342E+3,
362.00,5.90458057E+3,
363.00,6.34689551E+3,
364.00,6.69707617E+3,
365.00,7.68435986E+3,
366.00,8.11426074E+3,
367.00,8.42131055E+3,
368.00,8.92033984E+3,
369.00,9.40008887E+3,
370.00,9.42045215E+3,
371.00,9.52278027E+3,
372.00,9.75103418E+3,
373.00,9.81020703E+3,
374.00,9.65529102E+3,
375.00,1.01190176E+4,
376.00,1.02301221E+4,
377.00,1.03829033E+4,
378.00,1.14691582E+4,
379.00,1.17400654E+4,
380.00,1.23160439E+4,
381.00,1.25177813E+4,
382.00,1.25919395E+4,
383.00,1.21622764E+4,
384.00,1.19186055E+4,
385.00,1.16292480E+4,
386.00,1.16096797E+4,
387.00,1.16866611E+4,
388.00,1.18572383E+4,
389.00,1.20425547E+4,
390.00,1.20915361E+4,
391.00,1.24595742E+4,
392.00,1.27171055E+4,
393.00,1.31953398E+4,
394.00,1.36851338E+4,
395.00,1.38802119E+4,
396.00,1.42349551E+4,
397.00,1.41765156E+4,
398.00,1.43795361E+4,
399.00,1.43712490E+4,
400.00,1.45928047E+4,
401.00,1.50283779E+4,
402.00,1.54988857E+4,
403.00,1.52889063E+4,
404.00,1.62237607E+4,
405.00,1.65565020E+4,
406.00,1.67482363E+4,
407.00,1.74150195E+4,
408.00,1.78397207E+4,
409.00,1.83092168E+4,
410.00,1.80334336E+4,
411.00,1.87713555E+4,
412.00,1.93715469E+4,
413.00,1.93584043E+4,
414.00,1.95466113E+4,
415.00,2.05094141E+4,
416.00,2.07965430E+4,
417.00,2.14098496E+4,
418.00,2.20050918E+4,
419.00,2.28606563E+4,
420.00,2.28560977E+4,
421.00,2.35970313E+4,
422.00,2.41112324E+4,
423.00,2.43158027E+4,
424.00,2.42043711E+4,
425.00,2.47414863E+4,
426.00,2.49628398E+4,
427.00,2.48987148E+4,
428.00,2.49452969E+4,
429.00,2.56798867E+4,
430.00,2.52823008E+4,
431.00,2.59266211E+4,
432.00,2.97368438E+4,
433.00,4.19730625E+4,
434.00,6.76614297E+4,
435.00,9.97583906E+4,
436.00,1.29418313E+5,
437.00,1.45541469E+5,
438.00,1.38748344E+5,
439.00,1.14185242E+5,
440.00,8.29388359E+4,
441.00,5.36631250E+4,
442.00,3.55574023E+4,
443.00,2.81660059E+4,
444.00,2.50534629E+4,
445.00,2.48479844E+4,
446.00,2.46530781E+4,
447.00,2.46398086E+4,
448.00,2.42412754E+4,
449.00,2.42140566E+4,
450.00,2.50303965E+4,
451.00,2.45199258E+4,
452.00,2.45110039E+4,
453.00,2.41030586E+4,
454.00,2.45073574E+4,
455.00,2.50178301E+4,
456.00,2.69341270E+4,
457.00,2.91644609E+4,
458.00,3.16179668E+4,
459.00,3.38793711E+4,
460.00,3.57514180E+4,
461.00,3.66048672E+4,
462.00,3.66248984E+4,
463.00,3.68925859E+4,
464.00,3.74615625E+4,
465.00,3.78496445E+4,
466.00,3.88763008E+4,
467.00,3.92754648E+4,
468.00,3.93003867E+4,
469.00,3.89961406E+4,
470.00,3.84581172E+4,
471.00,3.77972578E+4,
472.00,3.73655664E+4,
473.00,3.68865117E+4,
474.00,3.62368789E+4,
475.00,3.53106055E+4,
476.00,3.48960820E+4,
477.00,3.57090898E+4,
478.00,3.57525469E+4,
479.00,3.62075938E+4,
480.00,3.77252500E+4,
481.00,3.90890898E+4,
482.00,3.97357930E+4,
483.00,4.02445977E+4,
484.00,3.96975391E+4,
485.00,4.02751055E+4,
486.00,4.07015586E+4,
487.00,4.15566211E+4,
488.00,4.24618711E+4,
489.00,4.34632969E+4,
490.00,4.42995000E+4,
491.00,4.59468789E+4,
492.00,4.72625781E+4,
493.00,4.79275820E+4,
494.00,4.83596953E+4,
495.00,4.88286680E+4,
496.00,4.88719219E+4,
497.00,4.95127852E+4,
498.00,5.04953125E+4,
499.00,5.12198047E+4,
500.00,5.30101484E+4,
501.00,5.42508164E+4,
502.00,5.61472383E+4,
503.00,5.76982734E+4,
504.00,6.06065742E+4,
505.00,6.34474414E+4,
506.00,6.60475938E+4,
507.00,6.85673281E+4,
508.00,7.17647734E+4,
509.00,7.47907344E+4,
510.00,7.72770547E+4,
511.00,8.07506016E+4,
512.00,8.37744219E+4,
513.00,8.81232422E+4,
514.00,9.21834453E+4,
515.00,9.71393516E+4,
516.00,1.02038664E+5,
517.00,1.07564547E+5,
518.00,1.13477148E+5,
519.00,1.21391047E+5,
520.00,1.26970688E+5,
521.00,1.35952078E+5,
522.00,1.45385438E+5,
523.00,1.55005766E+5,
524.00,1.65992359E+5,
525.00,1.76499172E+5,
526.00,1.91629734E+5,
527.00,2.05784172E+5,
528.00,2.25007031E+5,
529.00,2.42817281E+5,
530.00,2.66241000E+5,
531.00,2.89841594E+5,
532.00,3.28146500E+5,
533.00,3.74448563E+5,
534.00,4.23023563E+5,
535.00,4.64763031E+5,
536.00,5.03872656E+5,
537.00,5.34259688E+5,
538.00,5.67207875E+5,
539.00,6.08473063E+5,
540.00,6.58546813E+5,
541.00,7.13707188E+5,
542.00,7.83815938E+5,
543.00,8.41576625E+5,
544.00,9.05842625E+5,
545.00,9.62337688E+5,
546.00,1.02416963E+6,
547.00,1.10485538E+6,
548.00,1.20348275E+6,
549.00,1.33791188E+6,
550.00,1.50656525E+6,
551.00,1.71539638E+6,
552.00,1.99121675E+6,
553.00,2.32484850E+6,
554.00,2.77359525E+6,
555.00,3.33150250E+6,
556.00,4.63008400E+6,
557.00,6.43509400E+6,
558.00,4.10328975E+6,
559.00,1.23377775E+6,
560.00,-1.42182178E+4,
561.00,-1.44658057E+4,
562.00,-1.43855908E+4,
563.00,-1.45599727E+4,
564.00,-1.46848682E+4,
565.00,-1.48507129E+4,
566.00,-1.50145156E+4,
567.00,-1.54255313E+4,
568.00,-1.57753906E+4,
569.00,-1.47119355E+4,
570.00,5.84533313E+5,
571.00,4.37723750E+6,
572.00,7.47745500E+6,
573.00,6.40930750E+6,
574.00,5.26760100E+6,
575.00,4.25340050E+6,
576.00,3.55046300E+6,
577.00,2.95987950E+6,
578.00,2.48244000E+6,
579.00,2.07447563E+6,
580.00,1.76228600E+6,
581.00,1.51550988E+6,
582.00,1.32812988E+6,
583.00,1.16599113E+6,
584.00,1.02598375E+6,
585.00,9.08747250E+5,
586.00,8.09867063E+5,
587.00,7.33791750E+5,
588.00,6.77489750E+5,
589.00,6.32014813E+5,
590.00,5.94614813E+5,
591.00,5.59745438E+5,
592.00,5.24903813E+5,
593.00,4.84302000E+5,
594.00,4.47562719E+5,
595.00,4.07499406E+5,
596.00,3.68223906E+5,
597.00,3.33192813E+5,
598.00,3.02208719E+5,
599.00,2.73940750E+5,
600.00,2.53256063E+5,
601.00,2.34762609E+5,
602.00,2.16376250E+5,
603.00,2.03024891E+5,
604.00,1.89160906E+5,
605.00,1.76866750E+5,
606.00,1.65654344E+5,
607.00,1.59233375E+5,
608.00,1.49946453E+5,
609.00,1.42054734E+5,
610.00,1.36450828E+5,
611.00,1.31210734E+5,
612.00,1.27847688E+5,
613.00,1.23500492E+5,
614.00,1.21247180E+5,
615.00,1.19088875E+5,
616.00,1.16072258E+5,
617.00,1.16042352E+5,
618.00,1.14766945E+5,
619.00,1.12538375E+5,
620.00,1.11000922E+5,
621.00,1.09317445E+5,
622.00,1.07807148E+5,
623.00,1.04089766E+5,
624.00,1.01227492E+5,
625.00,9.70124141E+4,
626.00,9.44723906E+4,
627.00,9.26629922E+4,
628.00,8.94593047E+4,
629.00,8.80839375E+4,
630.00,8.57781953E+4,
631.00,8.43201719E+4,
632.00,8.15057344E+4,
633.00,8.10348438E+4,
634.00,8.04345781E+4,
635.00,7.77423672E+4,
636.00,7.76268594E+4,
637.00,7.46822656E+4,
638.00,7.14979141E+4,
639.00,7.07347500E+4,
640.00,6.98558906E+4,
641.00,6.82640078E+4,
642.00,6.73240391E+4,
643.00,6.75308672E+4,
644.00,6.60293828E+4,
645.00,6.57942891E+4,
646.00,6.40630586E+4,
647.00,6.35136953E+4,
648.00,6.19629766E+4,
649.00,6.18598789E+4,
650.00,6.15626016E+4,
651.00,5.92362422E+4,
652.00,5.96594609E+4,
653.00,5.87347383E+4,
654.00,5.64232188E+4,
655.00,5.43725352E+4,
656.00,5.41000313E+4,
657.00,5.37424297E+4,
658.00,5.38664531E+4,
659.00,5.24916055E+4,
660.00,5.18452852E+4,
661.00,5.21670625E+4,
662.00,5.10192188E+4,
663.00,5.08383438E+4,
664.00,4.99540742E+4,
665.00,5.02179883E+4,
666.00,4.94048828E+4,
667.00,4.84498438E+4,
668.00,5.07745508E+4,
669.00,5.12259922E+4,
670.00,5.06347695E+4,
671.00,5.29891758E+4,
672.00,5.17461133E+4,
673.00,5.26994375E+4,
674.00,5.21960938E+4,
675.00,5.29760273E+4,
676.00,5.25808672E+4,
677.00,5.44960430E+4,
678.00,5.69877344E+4,
679.00,5.46157578E+4,
680.00,-4.79513125E+4,
681.00,-4.84864922E+4,
682.00,-4.87953438E+4,
683.00,-4.91536406E+4,
684.00,-4.96153789E+4,
685.00,-5.09336602E+4,
686.00,-5.11320039E+4,
687.00,-5.12727031E+4,
688.00,-5.18683711E+4,
689.00,-5.29817344E+4,
690.00,-5.35100859E+4,
691.00,-5.39426953E+4,
692.00,-5.46278398E+4,
693.00,-5.66420039E+4,
694.00,-5.79595352E+4,
695.00,-5.91733359E+4,
696.00,-6.02045508E+4,
697.00,-6.08904648E+4,
698.00,-6.20685352E+4,
699.00,-6.27768789E+4,
700.00,-6.42970117E+4,
701.00,-6.56273047E+4,
702.00,-6.60188984E+4,
703.00,-6.71360469E+4,
704.00,-6.80289453E+4,
705.00,-6.87095078E+4,
706.00,-7.07626719E+4,
707.00,-7.11449297E+4,
708.00,-7.22451641E+4,
709.00,-7.21985000E+4,
710.00,-7.30603750E+4,
711.00,-7.37849297E+4,
712.00,-7.59542344E+4,
713.00,-7.73196875E+4,
714.00,-7.85960703E+4,
715.00,-8.02798750E+4,
716.00,-8.12044375E+4,
717.00,-8.34182578E+4,
718.00,-8.57750703E+4,
719.00,-8.70767891E+4,
720.00,-8.93358516E+4,
721.00,-9.11249922E+4,
722.00,-9.23093438E+4,
723.00,-9.33965078E+4,
724.00,-9.54510938E+4,
725.00,-9.67240703E+4,
726.00,-9.85673828E+4,
727.00,-9.97316328E+4,
728.00,-1.00091211E+5,
729.00,-1.02744695E+5,
730.00,-1.04646875E+5,
731.00,-1.05480266E+5,
732.00,-1.06925938E+5,
733.00,-1.09284070E+5,
734.00,-1.11748781E+5,
735.00,-1.14258438E+5,
736.00,-1.15583523E+5,
737.00,-1.18067938E+5,
738.00,-1.20255164E+5,
739.00,-1.21729078E+5,
740.00,-1.22944977E+5,
741.00,-1.25547813E+5,
742.00,-1.27353805E+5,
743.00,-1.28841555E+5,
744.00,-1.31073438E+5,
745.00,-1.34180547E+5,
746.00,-1.35786391E+5,
747.00,-1.37620484E+5,
748.00,-1.41031219E+5,
749.00,-1.41951719E+5,
750.00,-1.44368328E+5,
751.00,-1.45976500E+5,
752.00,-1.49437234E+5,
753.00,-1.51691781E+5,
754.00,-1.53345938E+5,
755.00,-1.56431016E+5,
756.00,-1.57969547E+5,
757.00,-1.59597781E+5,
758.00,-1.62054438E+5,
759.00,-1.64304906E+5,
760.00,-1.66860781E+5,
761.00,-1.68416469E+5,
762.00,-1.69411000E+5,
763.00,-1.70198359E+5,
764.00,-1.73246703E+5,
765.00,-1.75707344E+5,
766.00,-1.79663078E+5,
767.00,-1.83725719E+5,
768.00,-1.86688828E+5,
769.00,-1.90447781E+5,
770.00,-1.92693016E+5,
771.00,-1.95794703E+5,
772.00,-1.98718141E+5,
773.00,-2.02771125E+5,
774.00,-2.04575859E+5,
775.00,-2.07956156E+5,
776.00,-2.10001250E+5,
777.00,-2.13179141E+5,
778.00,-2.16258453E+5,
779.00,-2.19877078E+5,
780.00,-2.21476875E+5,
781.00,-2.24960094E+5,
782.00,-2.26913828E+5,
783.00,-2.29852563E+5,
784.00,-2.34286500E+5,
785.00,-2.37176750E+5,
786.00,-2.39901219E+5,
787.00,-2.42597234E+5,
788.00,-2.45242344E+5,
789.00,-2.48278188E+5,
790.00,-2.52368797E+5,
791.00,-2.56104063E+5,
792.00,-2.59675063E+5,
793.00,-2.62739875E+5,
794.00,-2.67565281E+5,
795.00,-2.71667031E+5,
796.00,-2.73854750E+5,
797.00,-2.77555969E+5,
798.00,-2.82699781E+5,
799.00,-2.87991594E+5,
800.00,-2.90026688E+5,
