nm, %R
800.000000, 108.196700
799.000000, 108.403800
798.000000, 108.148700
797.000000, 108.533400
796.000000, 108.555900
795.000000, 109.040000
794.000000, 108.802800
793.000000, 108.828700
792.000000, 108.878400
791.000000, 108.947900
790.000000, 109.392400
789.000000, 109.838300
788.000000, 110.152700
787.000000, 110.367200
786.000000, 110.631000
785.000000, 110.731200
784.000000, 110.797300
783.000000, 110.925900
782.000000, 110.931900
781.000000, 111.111000
780.000000, 111.320700
779.000000, 111.183800
778.000000, 111.496400
777.000000, 111.628600
776.000000, 111.725200
775.000000, 111.915400
774.000000, 111.846300
773.000000, 112.100200
772.000000, 112.131100
771.000000, 111.955800
770.000000, 112.497900
769.000000, 112.561800
768.000000, 112.500000
767.000000, 112.751500
766.000000, 112.493400
765.000000, 112.902900
764.000000, 112.744300
763.000000, 113.207200
762.000000, 113.266700
761.000000, 113.580300
760.000000, 113.720500
759.000000, 113.595900
758.000000, 113.983300
757.000000, 113.950600
756.000000, 114.058200
755.000000, 114.388100
754.000000, 114.225100
753.000000, 114.603800
752.000000, 114.622300
751.000000, 114.724200
750.000000, 115.203000
749.000000, 115.243600
748.000000, 115.456000
747.000000, 115.641000
746.000000, 115.670800
745.000000, 115.890500
744.000000, 115.800600
743.000000, 116.339500
742.000000, 116.487200
741.000000, 116.609500
740.000000, 116.639900
739.000000, 116.687800
738.000000, 117.045700
737.000000, 116.938100
736.000000, 116.877800
735.000000, 117.496300
734.000000, 117.404000
733.000000, 117.454200
732.000000, 117.575100
731.000000, 117.956000
730.000000, 117.926300
729.000000, 117.888000
728.000000, 120.455700
727.000000, 120.478700
726.000000, 120.697800
725.000000, 120.766900
724.000000, 121.056300
723.000000, 121.089400
722.000000, 121.223900
721.000000, 121.471500
720.000000, 121.722300
719.000000, 121.788700
718.000000, 121.711500
717.000000, 121.527900
716.000000, 121.910000
715.000000, 121.555200
714.000000, 121.483300
713.000000, 121.486000
712.000000, 121.589400
711.000000, 121.258000
710.000000, 121.291100
709.000000, 121.400600
708.000000, 121.364000
707.000000, 121.373300
706.000000, 121.156300
705.000000, 121.028000
704.000000, 121.211100
703.000000, 121.016000
702.000000, 121.125100
701.000000, 120.894000
700.000000, 121.041900
699.000000, 120.793500
698.000000, 120.976400
697.000000, 120.928500
696.000000, 120.608200
695.000000, 120.807100
694.000000, 120.515300
693.000000, 120.625600
692.000000, 120.290400
691.000000, 120.372100
690.000000, 120.203500
689.000000, 119.964000
688.000000, 120.116200
687.000000, 120.112400
686.000000, 119.990200
685.000000, 120.005400
684.000000, 120.067300
683.000000, 120.096700
682.000000, 119.833800
681.000000, 119.817700
680.000000, 119.842300
679.000000, 119.577400
678.000000, 119.657300
