nm, %R
800.000000, 93.130290
799.000000, 92.859199
798.000000, 93.077772
797.000000, 92.761583
796.000000, 92.842213
795.000000, 92.377935
794.000000, 92.539346
793.000000, 92.577418
792.000000, 92.435782
791.000000, 92.349004
790.000000, 91.973208
789.000000, 91.731026
788.000000, 91.356907
787.000000, 91.153441
786.000000, 90.949011
785.000000, 90.887663
784.000000, 90.881276
783.000000, 90.709564
782.000000, 90.736208
781.000000, 90.632071
780.000000, 90.409511
779.000000, 90.653225
778.000000, 90.394129
777.000000, 90.252856
776.000000, 90.179924
775.000000, 89.932127
774.000000, 90.118493
773.000000, 89.850420
772.000000, 89.926524
771.000000, 90.006681
770.000000, 89.866033
769.000000, 89.546809
768.000000, 89.740889
767.000000, 89.489719
766.000000, 89.836826
765.000000, 89.379635
764.000000, 89.671584
763.000000, 89.278774
762.000000, 89.214041
761.000000, 89.028203
760.000000, 88.717250
759.000000, 89.060521
758.000000, 88.695625
757.000000, 88.664123
756.000000, 88.660438
755.000000, 88.398618
754.000000, 88.472061
753.000000, 88.239133
752.000000, 88.127616
751.000000, 88.188891
750.000000, 87.788339
749.000000, 87.738495
748.000000, 87.510653
747.000000, 87.463875
746.000000, 87.337167
745.000000, 87.272814
744.000000, 87.253002
743.000000, 86.944847
742.000000, 86.876240
741.000000, 86.817541
740.000000, 86.788912
739.000000, 86.789707
738.000000, 86.525349
737.000000, 86.607530
736.000000, 86.667442
735.000000, 86.323059
734.000000, 86.402848
733.000000, 86.260943
732.000000, 86.261887
731.000000, 86.095578
730.000000, 86.073081
729.000000, 86.120046
728.000000, 84.311660
727.000000, 84.281952
726.000000, 84.089934
725.000000, 83.961168
724.000000, 83.904183
723.000000, 83.827651
722.000000, 83.726559
721.000000, 83.562976
720.000000, 83.319244
719.000000, 83.372677
718.000000, 83.492603
717.000000, 83.550773
716.000000, 83.333033
715.000000, 83.629989
714.000000, 83.574779
713.000000, 83.680177
712.000000, 83.651864
711.000000, 83.876775
710.000000, 83.942433
709.000000, 83.749339
708.000000, 83.886655
707.000000, 83.880804
706.000000, 84.049364
705.000000, 84.204151
704.000000, 84.113171
703.000000, 84.191925
702.000000, 84.202366
701.000000, 84.330405
700.000000, 84.279328
699.000000, 84.452806
698.000000, 84.320082
697.000000, 84.280794
696.000000, 84.603949
695.000000, 84.420369
694.000000, 84.661450
693.000000, 84.626729
692.000000, 84.913260
691.000000, 84.938536
690.000000, 85.089037
689.000000, 85.129539
688.000000, 85.230302
687.000000, 85.165811
686.000000, 85.224877
685.000000, 85.254830
684.000000, 85.228451
683.000000, 85.242142
682.000000, 85.458610
681.000000, 85.355419
680.000000, 85.483089
679.000000, 85.601125
678.000000, 85.532851
677.000000, 85.604524
676.000000, 85.700655
675.000000, 85.812209
674.000000, 85.801027
673.000000, 85.778268
672.000000, 86.067086
671.000000, 86.080389
670.000000, 86.031683
669.000000, 85.977005
668.000000, 86.069069
667.000000, 86.296261
666.000000, 86.484743
665.000000, 86.229197
664.000000, 86.368084
663.000000, 86.443899
662.000000, 86.611523
661.000000, 86.619717
660.000000, 86.607381
659.000000, 86.778999
658.000000, 86.770588
657.000000, 86.804376
656.000000, 86.918908
655.000000, 86.971821
654.000000, 86.973527
653.000000, 86.974388
652.000000, 87.156519
651.000000, 87.048654
650.000000, 87.228075
649.000000, 87.146093
648.000000, 87.244419
647.000000, 87.271532
646.000000, 87.284635
645.000000, 87.331288
644.000000, 87.417736
643.000000, 87.356130
642.000000, 87.409661
641.000000, 87.465458
640.000000, 87.358937
639.000000, 87.442678
638.000000, 87.659354
637.000000, 87.556859
636.000000, 87.628462
635.000000, 87.704167
634.000000, 87.783146
633.000000, 87.737575
632.000000, 87.763760
631.000000, 87.858584
630.000000, 87.723642
629.000000, 87.965321
628.000000, 88.011384
627.000000, 88.018226
626.000000, 88.059141
625.000000, 88.093312
624.000000, 88.293536
623.000000, 88.253039
622.000000, 88.168068
621.000000, 88.277771
620.000000, 88.391769
619.000000, 88.393661
618.000000, 88.606286
617.000000, 88.453250
616.000000, 88.597779
615.000000, 88.496150
614.000000, 88.607370
613.000000, 88.606382
612.000000, 88.713569
611.000000, 88.781038
610.000000, 88.682461
609.000000, 88.819099
608.000000, 88.838064
607.000000, 88.918660
606.000000, 88.967993
605.000000, 88.879821
604.000000, 88.912734
603.000000, 89.180899
602.000000, 89.089006
601.000000, 89.110010
600.000000, 89.069042
599.000000, 89.310292
598.000000, 89.352558
597.000000, 89.352926
596.000000, 89.372003
595.000000, 89.435271
594.000000, 89.624887
593.000000, 89.543958
592.000000, 89.536302
591.000000, 89.625044
